demanda_media_GW;año;mes;mes_nombre;horas_mes;demanda_real_GWh
30.51002844982079;2018;1;Enero;744;22699.461166666668
31.84218353174603;2018;2;Febrero;672;21397.947333333334
29.83657222969942;2018;3;Marzo;744;22198.409738896367
27.68270925925926;2018;4;Abril;720;19931.550666666662
26.97195004480287;2018;5;Mayo;744;20067.130833333336
28.25849398148148;2018;6;Junio;720;20346.115666666665
29.96609050179212;2018;7;Julio;744;22294.771333333338
29.72513776881721;2018;8;Agosto;744;22115.5025
28.95232361111111;2018;9;Septiembre;720;20845.673
27.42653087248322;2018;10;Octubre;744;20405.338969127515
29.12005578703704;2018;11;Noviembre;720;20966.440166666667
28.58371482974912;2018;12;Diciembre;744;21266.28383333334
31.47386939964158;2019;1;Enero;744;23416.558833333336
30.08306001984127;2019;2;Febrero;672;20215.81633333333
27.97118730372365;2019;3;Marzo;744;20810.5633539704
27.165678703703712;2019;4;Abril;720;19559.28866666667
26.76085304659498;2019;5;Mayo;744;19910.074666666667
27.8435988425926;2019;6;Junio;720;20047.39116666667
30.61849283154122;2019;7;Julio;744;22780.15866666667
28.71504211469534;2019;8;Agosto;744;21363.99133333333
27.81185185185185;2019;9;Septiembre;720;20024.533333333333
27.15441096196868;2019;10;Octubre;744;20202.881755704697
28.92095740740741;2019;11;Noviembre;720;20823.089333333337
27.88521326164875;2019;12;Diciembre;744;20746.598666666672
30.52090367383513;2020;1;Enero;744;22707.552333333337
28.6650941091954;2020;2;Febrero;696;19950.909
26.71011641991925;2020;3;Marzo;744;19872.32661641992
22.582814351851848;2020;4;Abril;720;16259.62633333333
23.49316420250896;2020;5;Mayo;744;17478.914166666666
25.64623263888889;2020;6;Junio;720;18465.2875
29.645810259856628;2020;7;Julio;744;22056.48283333333
28.02053248207885;2020;8;Agosto;744;20847.276166666663
27.07816435185185;2020;9;Septiembre;720;19496.27833333333
26.42196017897092;2020;10;Octubre;744;19657.938373154364
27.44433333333333;2020;11;Noviembre;720;19759.92
28.63315905017921;2020;12;Diciembre;744;21303.070333333333
30.82930622759857;2021;1;Enero;744;22937.003833333336
28.758128720238098;2021;2;Febrero;672;19325.4625
28.06403162853298;2021;3;Marzo;744;20879.63953162853
26.32076481481482;2021;4;Abril;720;18950.95066666667
25.946677195340506;2021;5;Mayo;744;19304.327833333333
27.39661481481482;2021;6;Junio;720;19725.562666666672
29.23806496415771;2021;7;Julio;744;21753.120333333336
28.02679838709678;2021;8;Agosto;744;20851.938
27.451433101851865;2021;9;Septiembre;720;19765.03183333334
25.65716308724832;2021;10;Octubre;744;19088.929336912748
28.33258773148148;2021;11;Noviembre;720;20399.463166666665
28.06793369175627;2021;12;Diciembre;744;20882.542666666664
28.92807526881721;2022;1;Enero;744;21522.488000000005
28.46258854166668;2022;2;Febrero;672;19126.8595
27.33517160161508;2022;3;Marzo;744;20337.36767160162
25.57302106481482;2022;4;Abril;720;18412.57516666667
25.71445686900959;2022;5;Mayo;744;19131.55591054313
27.780092824074067;2022;6;Junio;720;20001.66683333333
29.62832739695341;2022;7;Julio;744;22043.475583333337
27.59365580197133;2022;8;Agosto;744;20529.67991666667
26.46413634259259;2022;9;Septiembre;720;19054.178166666665
24.53792785234899;2022;10;Octubre;744;18256.218322147648
25.555986226851847;2022;11;Noviembre;720;18400.31008333333
25.94384643817205;2022;12;Diciembre;744;19302.221750000008
28.08016823476703;2023;1;Enero;744;20891.64516666667
28.7806875;2023;2;Febrero;672;19340.622
26.09260004486317;2023;3;Marzo;744;19412.8944333782
22.98522766203704;2023;4;Abril;720;16549.36391666667
23.440741711469546;2023;5;Mayo;744;17439.91183333334
25.93882997685185;2023;6;Junio;720;18675.957583333333
28.5528458781362;2023;7;Julio;744;21243.31733333333
27.17311312724015;2023;8;Agosto;744;20216.79616666667
25.460061458333342;2023;9;Septiembre;720;18331.244250000007
24.81259172259508;2023;10;Octubre;744;18460.56824161074
26.07525335648148;2023;11;Noviembre;720;18774.182416666667
26.80974731182796;2023;12;Diciembre;744;19946.452
28.202220206093187;2024;1;Enero;744;20982.451833333333
27.22861254789272;2024;2;Febrero;696;18951.112
25.91942227456259;2024;3;Marzo;744;19284.050172274565
24.72977939814816;2024;4;Abril;720;17805.44116666667
24.527488687275987;2024;5;Mayo;744;18248.45158333333
25.43572465277778;2024;6;Junio;720;18313.72175
28.67302396953405;2024;7;Julio;744;21332.72983333333
28.04281115591398;2024;8;Agosto;744;20863.8515
25.7988;2024;9;Septiembre;720;18575.136
25.44082505592842;2024;10;Octubre;744;18927.973841610747
25.90254641203704;2024;11;Noviembre;720;18649.83341666667
27.30397838261649;2024;12;Diciembre;744;20314.159916666667
28.9759808467742;2025;1;Enero;744;21558.129750000004
28.36896515376984;2025;2;Febrero;672;19063.94458333333
27.54699360699866;2025;3;Marzo;744;20494.96324360701
24.33302766203704;2025;4;Abril;720;17519.77991666667
22.882686672967857;2025;5;Mayo;744;17024.718884688085
